[ 2020-11-02 10:55:02,985 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 10:55:03,979 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 10:55:05,062 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2020-11-02 10:55:06,095 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 10:55:06,112 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 10:59:04,790 ] Asset loading complete
[ 2020-11-02 10:59:13,363 ] News query failed: "Unrecognized event news."
[ 2020-11-02 10:59:14,145 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2020-11-02 10:59:14,196 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 10:59:14,213 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 10:59:15,196 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:02:13,947 ] Asset loading complete
[ 2020-11-02 11:02:16,576 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:02:17,372 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2020-11-02 11:02:17,376 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:02:17,393 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:02:18,443 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:03:43,867 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:03:43,958 ] Disconnected from gameserver
[ 2020-11-02 11:03:45,184 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:03:46,910 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2020-11-02 11:03:46,912 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:03:47,884 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:03:48,967 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2020-11-02 11:03:49,967 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:03:52,017 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2020-11-02 11:03:52,022 ] Disconnected from gameserver
[ 2020-11-02 11:03:53,231 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2020-11-02 11:03:53,233 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
